filename,filepath,file_type,lines,complexity,purpose,dependencies,replacement_strategy,priority,status,estimated_effort,notes,last_updated
py_win_peak_list.h,./ccpnmr2.4/c/ccpnmr/analysis/py_win_peak_list.h,Header,60,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'win_peak_list.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
peak_list.c,./ccpnmr2.4/c/ccpnmr/analysis/peak_list.c,C,919,Low,File I/O,"['peak_list.h', 'symbol.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
py_contour_file.c,./ccpnmr2.4/c/ccpnmr/analysis/py_contour_file.c,C,406,Low,File I/O,"['py_contour_file.h', 'py_block_file.h', 'py_contour_levels.h', 'py_contour_style.h', 'py_draw_handler.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
slice_file.h,./ccpnmr2.4/c/ccpnmr/analysis/slice_file.h,Header,81,Low,File I/O,"['block_file.h', 'drawing_funcs.h', 'mem_cache.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
symbol.c,./ccpnmr2.4/c/ccpnmr/analysis/symbol.c,C,121,Low,File I/O,['symbol.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
win_peak_list.c,./ccpnmr2.4/c/ccpnmr/analysis/win_peak_list.c,C,259,Low,File I/O,"['win_peak_list.h', 'symbol.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
contour_levels.c,./ccpnmr2.4/c/ccpnmr/analysis/contour_levels.c,C,126,Low,File I/O,['contour_levels.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
contour_style.c,./ccpnmr2.4/c/ccpnmr/analysis/contour_style.c,C,79,Low,File I/O,['contour_style.h'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_peak_cluster.h,./ccpnmr2.4/c/ccpnmr/analysis/py_peak_cluster.h,Header,60,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'peak_cluster.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
method.c,./ccpnmr2.4/c/ccpnmr/analysis/method.c,C,235,Medium,Mathematical Algorithm,['method.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
py_peak.h,./ccpnmr2.4/c/ccpnmr/analysis/py_peak.h,Header,64,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'peak.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_contour_levels.h,./ccpnmr2.4/c/ccpnmr/analysis/py_contour_levels.h,Header,60,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'contour_levels.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_contour_style.h,./ccpnmr2.4/c/ccpnmr/analysis/py_contour_style.h,Header,60,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'contour_style.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_peak_list.h,./ccpnmr2.4/c/ccpnmr/analysis/py_peak_list.h,Header,60,Low,File I/O,"['Python.h', 'macros.h', 'types.h', 'peak_list.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
contour_file.c,./ccpnmr2.4/c/ccpnmr/analysis/contour_file.c,C,602,Low,File I/O,"['contour_file.h', 'int_array.h', 'store_handler.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
peak.h,./ccpnmr2.4/c/ccpnmr/analysis/peak.h,Header,139,Low,File I/O,"['block_file.h', 'drawing_funcs.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
