filename,filepath,file_type,lines,complexity,purpose,dependencies,replacement_strategy,priority,status,estimated_effort,notes,last_updated
qu2cu.c,./venv/lib/python3.12/site-packages/fontTools/qu2cu/qu2cu.c,C,16767,Medium,Mathematical Algorithm,"['Python.h', 'stddef.h', 'stdint.h', 'math.h', 'omp.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
bezierTools.c,./venv/lib/python3.12/site-packages/fontTools/misc/bezierTools.c,C,40157,High,FFT/Signal Processing,"['Python.h', 'stddef.h', 'stdint.h', 'math.h', 'omp.h']",Numba/SciPy/External Library,High,Not Started,TBD,,2025-11-22
cu2qu.c,./venv/lib/python3.12/site-packages/fontTools/cu2qu/cu2qu.c,C,15774,Medium,Mathematical Algorithm,"['Python.h', 'stddef.h', 'stdint.h', 'math.h', 'omp.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
iup.c,./venv/lib/python3.12/site-packages/fontTools/varLib/iup.c,C,19855,Medium,Mathematical Algorithm,"['Python.h', 'stddef.h', 'stdint.h', 'math.h', 'omp.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
momentsPen.c,./venv/lib/python3.12/site-packages/fontTools/pens/momentsPen.c,C,13472,Medium,Mathematical Algorithm,"['Python.h', 'stddef.h', 'stdint.h', 'math.h', 'omp.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
lexer.c,./venv/lib/python3.12/site-packages/fontTools/feaLib/lexer.c,C,17357,Medium,Mathematical Algorithm,"['Python.h', 'stddef.h', 'stdint.h', 'math.h', 'omp.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
cfuncs.c,./venv/lib/python3.12/site-packages/Cython/Debugger/Tests/cfuncs.c,C,9,Low,File I/O,[],Python I/O,Low,Not Started,1-2 days,,2025-11-22
ObjectHandling.c,./venv/lib/python3.12/site-packages/Cython/Utility/ObjectHandling.c,C,3274,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
Buffer.c,./venv/lib/python3.12/site-packages/Cython/Utility/Buffer.c,C,866,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
Builtins.c,./venv/lib/python3.12/site-packages/Cython/Utility/Builtins.c,C,811,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
Overflow.c,./venv/lib/python3.12/site-packages/Cython/Utility/Overflow.c,C,385,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
CppSupport.cpp,./venv/lib/python3.12/site-packages/Cython/Utility/CppSupport.cpp,C++,152,Low,File I/O,"['new', 'typeinfo', 'stdexcept', 'ios', 'utility']",Python I/O,Medium,Not Started,1 week,,2025-11-22
NumpyImportArray.c,./venv/lib/python3.12/site-packages/Cython/Utility/NumpyImportArray.c,C,47,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
FunctionArguments.c,./venv/lib/python3.12/site-packages/Cython/Utility/FunctionArguments.c,C,1044,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
TestUtilityLoader.c,./venv/lib/python3.12/site-packages/Cython/Utility/TestUtilityLoader.c,C,13,Low,Utility/Unknown,[],Direct Python Port,Low,Not Started,1-2 days,,2025-11-22
MemoryView_C.c,./venv/lib/python3.12/site-packages/Cython/Utility/MemoryView_C.c,C,931,Low,File I/O,['stdio.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
UFuncs_C.c,./venv/lib/python3.12/site-packages/Cython/Utility/UFuncs_C.c,C,90,Low,File I/O,"['numpy/arrayobject.h', 'numpy/ufuncobject.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
Printing.c,./venv/lib/python3.12/site-packages/Cython/Utility/Printing.c,C,87,Low,File I/O,[],Python I/O,Low,Not Started,1-2 days,,2025-11-22
CythonFunction.c,./venv/lib/python3.12/site-packages/Cython/Utility/CythonFunction.c,C,1833,Medium,Mathematical Algorithm,['descrobject.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
Complex.c,./venv/lib/python3.12/site-packages/Cython/Utility/Complex.c,C,379,Low,File I/O,"['complex', 'complex.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
StringTools.c,./venv/lib/python3.12/site-packages/Cython/Utility/StringTools.c,C,1380,Low,File I/O,"['string.h', 'string', 'string_view']",Python I/O,Medium,Not Started,1 week,,2025-11-22
ImportExport.c,./venv/lib/python3.12/site-packages/Cython/Utility/ImportExport.c,C,920,Medium,Mathematical Algorithm,['stdalign.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
TString.c,./venv/lib/python3.12/site-packages/Cython/Utility/TString.c,C,357,Low,File I/O,['internal/pycore_template.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
CMath.c,./venv/lib/python3.12/site-packages/Cython/Utility/CMath.c,C,105,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
CommonStructures.c,./venv/lib/python3.12/site-packages/Cython/Utility/CommonStructures.c,C,227,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
Embed.c,./venv/lib/python3.12/site-packages/Cython/Utility/Embed.c,C,122,Low,File I/O,"['floatingpoint.h', 'locale.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
ExtensionTypes.c,./venv/lib/python3.12/site-packages/Cython/Utility/ExtensionTypes.c,C,996,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
Dataclasses.c,./venv/lib/python3.12/site-packages/Cython/Utility/Dataclasses.c,C,102,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
Optimize.c,./venv/lib/python3.12/site-packages/Cython/Utility/Optimize.c,C,1604,Medium,Mathematical Algorithm,['string.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
ModuleSetupCode.c,./venv/lib/python3.12/site-packages/Cython/Utility/ModuleSetupCode.c,C,3204,Medium,Mathematical Algorithm,"['stddef.h', 'stdint.h', 'structmember.h', 'math.h', 'pythread.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
Profile.c,./venv/lib/python3.12/site-packages/Cython/Utility/Profile.c,C,733,Low,File I/O,"['compile.h', 'frameobject.h', 'traceback.h', 'internal/pycore_frame.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
Synchronization.c,./venv/lib/python3.12/site-packages/Cython/Utility/Synchronization.c,C,400,Low,File I/O,"['pythread.h', 'stdatomic.h', 'atomic', 'intrin.h', 'internal/pycore_critical_section.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
Exceptions.c,./venv/lib/python3.12/site-packages/Cython/Utility/Exceptions.c,C,1017,Low,File I/O,"['compile.h', 'frameobject.h', 'traceback.h', 'internal/pycore_frame.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
AsyncGen.c,./venv/lib/python3.12/site-packages/Cython/Utility/AsyncGen.c,C,1032,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
TypeConversion.c,./venv/lib/python3.12/site-packages/Cython/Utility/TypeConversion.c,C,1402,Medium,Mathematical Algorithm,"['cstdlib', 'string.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
Coroutine.c,./venv/lib/python3.12/site-packages/Cython/Utility/Coroutine.c,C,2301,Low,File I/O,"['frameobject.h', 'internal/pycore_frame.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
arrayarray.h,./venv/lib/python3.12/site-packages/Cython/Utility/arrayarray.h,Header,168,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
ndarrayobject.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/ndarrayobject.h,Header,305,Low,File I/O,"['Python.h', 'ndarraytypes.h', 'dtype_api.h', '__multiarray_api.h', 'npy_2_compat.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
utils.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/utils.h,Header,38,Low,Utility/Unknown,[],Direct Python Port,Low,Not Started,1-2 days,,2025-11-22
__multiarray_api.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/__multiarray_api.h,Header,1629,Medium,Mathematical Algorithm,['numpy/_public_dtype_api_table.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
ufuncobject.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/ufuncobject.h,Header,344,Medium,Mathematical Algorithm,"['numpy/npy_math.h', 'numpy/npy_common.h', 'arrayobject.h', '__ufunc_api.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
npy_common.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/npy_common.h,Header,978,Medium,Mathematical Algorithm,"['Python.h', 'numpyconfig.h', 'npy_config.h', 'io.h', 'sys/types.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
npy_2_complexcompat.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/npy_2_complexcompat.h,Header,29,Medium,Mathematical Algorithm,['numpy/npy_math.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
npy_cpu.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/npy_cpu.h,Header,125,Low,File I/O,['numpyconfig.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
npy_2_compat.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/npy_2_compat.h,Header,250,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
__ufunc_api.c,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/__ufunc_api.c,C,55,Low,File I/O,[],Python I/O,Low,Not Started,1-2 days,,2025-11-22
ndarraytypes.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/ndarraytypes.h,Header,1951,Medium,Mathematical Algorithm,"['npy_common.h', 'npy_endian.h', 'npy_cpu.h', 'utils.h', '_neighborhood_iterator_imp.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
npy_no_deprecated_api.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/npy_no_deprecated_api.h,Header,21,Low,File I/O,[],Python I/O,Low,Not Started,1-2 days,,2025-11-22
__multiarray_api.c,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/__multiarray_api.c,C,377,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
npy_3kcompat.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/npy_3kcompat.h,Header,375,Low,File I/O,"['Python.h', 'stdio.h', 'npy_common.h', 'stdlib.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
npy_os.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/npy_os.h,Header,43,Low,Utility/Unknown,[],Direct Python Port,Low,Not Started,1-2 days,,2025-11-22
npy_endian.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/npy_endian.h,Header,79,Low,Utility/Unknown,"['endian.h', 'sys/endian.h', 'npy_cpu.h']",Direct Python Port,Low,Not Started,1-2 days,,2025-11-22
_numpyconfig.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/_numpyconfig.h,Header,34,Low,File I/O,[],Python I/O,Low,Not Started,1-2 days,,2025-11-22
_neighborhood_iterator_imp.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/_neighborhood_iterator_imp.h,Header,91,Low,File I/O,[],Python I/O,Low,Not Started,1-2 days,,2025-11-22
_public_dtype_api_table.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/_public_dtype_api_table.h,Header,87,Low,File I/O,[],Python I/O,Low,Not Started,1-2 days,,2025-11-22
numpyconfig.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/numpyconfig.h,Header,183,Low,File I/O,['_numpyconfig.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
__ufunc_api.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/__ufunc_api.h,Header,342,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
arrayscalars.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/arrayscalars.h,Header,197,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
dtype_api.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/dtype_api.h,Header,481,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
npy_math.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/npy_math.h,Header,603,Medium,Mathematical Algorithm,"['numpy/npy_common.h', 'math.h', 'npy_math_internal.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
halffloat.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/halffloat.h,Header,71,Medium,Mathematical Algorithm,"['Python.h', 'numpy/npy_math.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
arrayobject.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/arrayobject.h,Header,8,Low,Utility/Unknown,['ndarrayobject.h'],Direct Python Port,Low,Not Started,1-2 days,,2025-11-22
distributions.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/random/distributions.h,Header,210,Medium,Mathematical Algorithm,"['Python.h', 'numpy/npy_common.h', 'stddef.h', 'stdbool.h', 'stdint.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
libdivide.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/random/libdivide.h,Header,2080,Medium,Mathematical Algorithm,"['stdint.h', 'cstdlib', 'cstdio', 'type_traits', 'stdlib.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
bitgen.h,./venv/lib/python3.12/site-packages/numpy/_core/include/numpy/random/bitgen.h,Header,21,Low,File I/O,"['stddef.h', 'stdbool.h', 'stdint.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
limited_api1.c,./venv/lib/python3.12/site-packages/numpy/_core/tests/examples/limited_api/limited_api1.c,C,18,Medium,Mathematical Algorithm,"['Python.h', 'numpy/arrayobject.h', 'numpy/ufuncobject.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
limited_api_latest.c,./venv/lib/python3.12/site-packages/numpy/_core/tests/examples/limited_api/limited_api_latest.c,C,20,Medium,Mathematical Algorithm,"['Python.h', 'numpy/arrayobject.h', 'numpy/ufuncobject.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
generate_umath_validation_data.cpp,./venv/lib/python3.12/site-packages/numpy/_core/tests/data/generate_umath_validation_data.cpp,C++,171,Medium,Mathematical Algorithm,"['algorithm', 'fstream', 'iostream', 'math.h', 'random']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
wrapmodule.c,./venv/lib/python3.12/site-packages/numpy/f2py/tests/src/array_from_pyobj/wrapmodule.c,C,236,Medium,Mathematical Algorithm,"['Python.h', 'fortranobject.h', 'math.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
fortranobject.h,./venv/lib/python3.12/site-packages/numpy/f2py/src/fortranobject.h,Header,174,Medium,Mathematical Algorithm,"['Python.h', 'numpy/arrayobject.h', 'numpy/npy_3kcompat.h', 'sys/timeb.h', 'dmalloc.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
fortranobject.c,./venv/lib/python3.12/site-packages/numpy/f2py/src/fortranobject.c,C,1437,Medium,Mathematical Algorithm,"['fortranobject.h', 'stdarg.h', 'stdlib.h', 'string.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
_random.c,./venv/lib/python3.12/site-packages/numba/_random.c,C,493,High,FFT/Signal Processing,['pthread.h'],Numba/SciPy/External Library,Medium,Not Started,1 week,,2025-11-22
_lapack.c,./venv/lib/python3.12/site-packages/numba/_lapack.c,C,1947,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
capsulethunk.h,./venv/lib/python3.12/site-packages/numba/capsulethunk.h,Header,109,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
_hashtable.h,./venv/lib/python3.12/site-packages/numba/_hashtable.h,Header,133,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
_helperlib.c,./venv/lib/python3.12/site-packages/numba/_helperlib.c,C,1252,Medium,Mathematical Algorithm,"['_pymodule.h', 'stddef.h', 'stdio.h', 'math.h', 'complex.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
_devicearray.h,./venv/lib/python3.12/site-packages/numba/_devicearray.h,Header,26,Low,File I/O,[],Python I/O,Low,Not Started,1-2 days,,2025-11-22
_typeof.h,./venv/lib/python3.12/site-packages/numba/_typeof.h,Header,17,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
_helpermod.c,./venv/lib/python3.12/site-packages/numba/_helpermod.c,C,278,Medium,Mathematical Algorithm,"['cext/cext.h', '_pymodule.h', 'math.h', 'stdbool.h', 'cext/cext.h']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
_arraystruct.h,./venv/lib/python3.12/site-packages/numba/_arraystruct.h,Header,22,Low,File I/O,[],Python I/O,Low,Not Started,1-2 days,,2025-11-22
pythoncapi_compat.h,./venv/lib/python3.12/site-packages/numba/pythoncapi_compat.h,Header,1697,Low,File I/O,['Python.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
_dynfuncmod.c,./venv/lib/python3.12/site-packages/numba/_dynfuncmod.c,C,94,Low,File I/O,['_dynfunc.c'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
mathnames.h,./venv/lib/python3.12/site-packages/numba/mathnames.h,Header,78,Medium,Mathematical Algorithm,[],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
_numba_common.h,./venv/lib/python3.12/site-packages/numba/_numba_common.h,Header,44,Low,File I/O,[],Python I/O,Low,Not Started,1-2 days,,2025-11-22
_dynfunc.c,./venv/lib/python3.12/site-packages/numba/_dynfunc.c,C,535,Low,File I/O,"['_pymodule.h', 'string.h', 'pythoncapi_compat.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
_pymodule.h,./venv/lib/python3.12/site-packages/numba/_pymodule.h,Header,36,Low,File I/O,"['Python.h', 'structmember.h', 'frameobject.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
mviewbuf.c,./venv/lib/python3.12/site-packages/numba/mviewbuf.c,C,384,Medium,Mathematical Algorithm,['_pymodule.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
_unicodetype_db.h,./venv/lib/python3.12/site-packages/numba/_unicodetype_db.h,Header,6092,Low,File I/O,[],Python I/O,Medium,Not Started,1 week,,2025-11-22
_nrt_python.c,./venv/lib/python3.12/site-packages/numba/core/runtime/_nrt_python.c,C,487,Low,File I/O,"['../../_pymodule.h', 'numpy/ndarrayobject.h', 'numpy/arrayscalars.h', '../../_arraystruct.h', '../../_numba_common.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
nrt.h,./venv/lib/python3.12/site-packages/numba/core/runtime/nrt.h,Header,274,Low,File I/O,"['stdlib.h', 'stdio.h', '../../_numba_common.h', 'nrt_external.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
nrt_external.h,./venv/lib/python3.12/site-packages/numba/core/runtime/nrt_external.h,Header,66,Low,File I/O,['stdlib.h'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
_nrt_pythonmod.c,./venv/lib/python3.12/site-packages/numba/core/runtime/_nrt_pythonmod.c,C,218,Low,File I/O,['_nrt_python.c'],Python I/O,Medium,Not Started,1 week,,2025-11-22
nrt.cpp,./venv/lib/python3.12/site-packages/numba/core/runtime/nrt.cpp,C++,630,Low,File I/O,"['atomic', 'inttypes.h', 'stdarg.h', 'string.h', 'nrt.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
cuda_fp16.h,./venv/lib/python3.12/site-packages/numba/cuda/cuda_fp16.h,Header,3632,Medium,Mathematical Algorithm,['cuda_fp16.hpp'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
cuda_fp16.hpp,./venv/lib/python3.12/site-packages/numba/cuda/cuda_fp16.hpp,Header,2466,Medium,Mathematical Algorithm,"['utility', 'cstring']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
modulemixin.c,./venv/lib/python3.12/site-packages/numba/pycc/modulemixin.c,C,222,Medium,Mathematical Algorithm,"['../_numba_common.h', '../_pymodule.h', '../_helperlib.c', '../_dynfunc.c', '../core/runtime/_nrt_python.c']",NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
dictobject.h,./venv/lib/python3.12/site-packages/numba/cext/dictobject.h,Header,229,Medium,Mathematical Algorithm,['cext.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
listobject.c,./venv/lib/python3.12/site-packages/numba/cext/listobject.c,C,978,Medium,Mathematical Algorithm,['listobject.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
utils.c,./venv/lib/python3.12/site-packages/numba/cext/utils.c,C,9,Low,Utility/Unknown,['cext.h'],Direct Python Port,Low,Not Started,1-2 days,,2025-11-22
dictobject.c,./venv/lib/python3.12/site-packages/numba/cext/dictobject.c,C,1266,Medium,Mathematical Algorithm,['dictobject.h'],NumPy/SciPy/Numba,Medium,Not Started,1 week,,2025-11-22
cext.h,./venv/lib/python3.12/site-packages/numba/cext/cext.h,Header,22,Low,File I/O,"['Python.h', '../_numba_common.h', 'dictobject.h', 'listobject.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
listobject.h,./venv/lib/python3.12/site-packages/numba/cext/listobject.h,Header,138,Low,File I/O,['cext.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
_blas_subroutines.h,./venv/lib/python3.12/site-packages/scipy/linalg/_blas_subroutines.h,Header,165,Low,File I/O,"['npy_cblas.h', 'fortran_defs.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
_lapack_subroutines.h,./venv/lib/python3.12/site-packages/scipy/linalg/_lapack_subroutines.h,Header,1522,Low,File I/O,"['npy_cblas.h', 'fortran_defs.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
_ufuncs_cxx_defs.h,./venv/lib/python3.12/site-packages/scipy/special/_ufuncs_cxx_defs.h,Header,148,Low,File I/O,"['boost_special_functions.h', 'stirling2.h', 'ellint_carlson_wrap.hh', '_wright.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
_ufuncs_defs.h,./venv/lib/python3.12/site-packages/scipy/special/_ufuncs_defs.h,Header,58,Low,Utility/Unknown,"['_cosine.h', 'xsf_wrappers.h']",Direct Python Port,Low,Not Started,1-2 days,,2025-11-22
shape_file.h,./ccpnmr2.4/c/memops/global/shape_file.h,Header,89,Low,File I/O,"['macros.h', 'types.h', 'consts.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
sorts.h,./ccpnmr2.4/c/memops/global/sorts.h,Header,51,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_mem_cache.c,./ccpnmr2.4/c/memops/global/py_mem_cache.c,C,281,Low,File I/O,"['py_mem_cache.h', 'python_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
ps_handler.c,./ccpnmr2.4/c/memops/global/ps_handler.c,C,501,Low,File I/O,"['ps_handler.h', 'clipping.h', 'utility.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
gauss_jordan.h,./ccpnmr2.4/c/memops/global/gauss_jordan.h,Header,52,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
diag_dbl.c,./ccpnmr2.4/c/memops/global/diag_dbl.c,C,206,Low,File I/O,['diag_dbl.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
list.c,./ccpnmr2.4/c/memops/global/list.c,C,201,Low,File I/O,['list.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
store_file.h,./ccpnmr2.4/c/memops/global/store_file.h,Header,88,Low,File I/O,"['macros.h', 'types.h', 'consts.h', 'polyline.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
tk_handler.h,./ccpnmr2.4/c/memops/global/tk_handler.h,Header,159,Low,File I/O,"['tk.h', 'macros.h', 'types.h', 'drawing_funcs.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
eigenvalue.h,./ccpnmr2.4/c/memops/global/eigenvalue.h,Header,51,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
python_util.c,./ccpnmr2.4/c/memops/global/python_util.c,C,874,Low,File I/O,"['python_util.h', 'utility.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
fit1d.h,./ccpnmr2.4/c/memops/global/fit1d.h,Header,56,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
py_tk_util.h,./ccpnmr2.4/c/memops/global/py_tk_util.h,Header,57,Low,File I/O,"['tk.h', 'Python.h', 'macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
gamma.c,./ccpnmr2.4/c/memops/global/gamma.c,C,141,Low,File I/O,['gamma.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
linalg.c,./ccpnmr2.4/c/memops/global/linalg.c,C,87,Low,File I/O,['linalg.h'],Python I/O,Low,Not Started,1-2 days,,2025-11-22
block_file.c,./ccpnmr2.4/c/memops/global/block_file.c,C,1405,Low,File I/O,"['block_file.h', 'utility.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
clipping.h,./ccpnmr2.4/c/memops/global/clipping.h,Header,58,Low,File I/O,"['macros.h', 'types.h', 'drawing_funcs.h', 'polyline.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
point.h,./ccpnmr2.4/c/memops/global/point.h,Header,58,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
nonlinear_model.h,./ccpnmr2.4/c/memops/global/nonlinear_model.h,Header,69,Low,File I/O,"['macros.h', 'types.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
cpmg.c,./ccpnmr2.4/c/memops/global/cpmg.c,C,210,Low,File I/O,"['cpmg.h', 'fit1d.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
py_gl_handler.c,./ccpnmr2.4/c/memops/global/py_gl_handler.c,C,735,Low,File I/O,"['py_gl_handler.h', 'windows.h', 'GL/gl.h', 'python_util.h', 'py_tk_util.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
types.h,./ccpnmr2.4/c/memops/global/types.h,Header,113,High,FFT/Signal Processing,['macros.h'],Numba/SciPy/External Library,Medium,Not Started,1 week,,2025-11-22
utility.c,./ccpnmr2.4/c/memops/global/utility.c,C,555,Low,File I/O,['utility.h'],Python I/O,Medium,Not Started,1 week,,2025-11-22
line_fit.c,./ccpnmr2.4/c/memops/global/line_fit.c,C,151,Low,File I/O,"['line_fit.h', 'gamma.h']",Python I/O,Medium,Not Started,1 week,,2025-11-22
mem_cache.h,./ccpnmr2.4/c/memops/global/mem_cache.h,Header,81,Low,File I/O,"['hash_list.h', 'mutex.h']",Python I/O,Low,Not Started,1-2 days,,2025-11-22
